Word,Details,Sources,GregMat_Details,Barron_Details,Kaplan_Details,Magoosh_Details,WordSmart_Details,Source_Files
resplendent,"Kaplan 900 + High Frequency GRE: brilliant, gloriously bright",Kaplan 900 + High Frequency GRE,,,"brilliant, gloriously bright",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
restive,GregMat Vocab: demonstrating difficulty in staying still | Magoosh GRE 1000 Words: (adjective): restless The crowd grew restive as the comedian's opening jokes fell flat.,GregMat Vocab; Magoosh GRE 1000 Words,demonstrating difficulty in staying still,,,(adjective): restless The crowd grew restive as the comedian's opening jokes fell flat.,,GregMat Vocab.pdf; magoosh-gre-1000-words_oct01.pdf
resurgent,"Magoosh GRE 1000 Words: (adjective): rising again as to new life and vigor The team sank to fourth place in June, but is now resurgent and about to win the division.",Magoosh GRE 1000 Words,,,,"(adjective): rising again as to new life and vigor The team sank to fourth place in June, but is now resurgent and about to win the division.",,magoosh-gre-1000-words_oct01.pdf
retaliate,GregMat Vocab: take revenge or counteract,GregMat Vocab,take revenge or counteract,,,,,GregMat Vocab.pdf
reticent,"GregMat Vocab: keeping one's thoughts and opinions to oneself; reserved or restrained | Barron's 1100 - First 20 Weeks: uncommunicative | Kaplan 900 + High Frequency GRE: restrained, reluctant, uncommunicative | Magoosh GRE 1000 Words: (adjective): reluctant to draw attention to yourself; temperamentally disinclined to talk When asked about her father, Helen lost her outward enthusiasm and became rather reticent. | WordSmart I Complete 850 Words: Pronunciation: RET-ih-sunt; English: reluctant to speak, especially about oneself; Bengali: কম কর্া িনল / অনুচ্চারণকারী; Example: He was reticent about his personal life.",GregMat Vocab; Barron's 1100 - First 20 Weeks; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,keeping one's thoughts and opinions to oneself; reserved or restrained,uncommunicative,"restrained, reluctant, uncommunicative","(adjective): reluctant to draw attention to yourself; temperamentally disinclined to talk When asked about her father, Helen lost her outward enthusiasm and became rather reticent.","Pronunciation: RET-ih-sunt; English: reluctant to speak, especially about oneself; Bengali: কম কর্া িনল / অনুচ্চারণকারী; Example: He was reticent about his personal life.",GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
retinue,Kaplan 900 + High Frequency GRE: a group of attendants to an elevated person,Kaplan 900 + High Frequency GRE,,,a group of attendants to an elevated person,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
retiring,"GregMat Vocab: introverted and shy; liking privacy | Magoosh GRE 1000 Words: (adjective): to be shy, and to be inclined to retract from company Nelson was always the first to leave soirees--rather than mill about with ""fashionable"" folk, he was retiring, and preferred the solitude of his garret.",GregMat Vocab; Magoosh GRE 1000 Words,introverted and shy; liking privacy,,,"(adjective): to be shy, and to be inclined to retract from company Nelson was always the first to leave soirees--rather than mill about with ""fashionable"" folk, he was retiring, and preferred the solitude of his garret.",,GregMat Vocab.pdf; magoosh-gre-1000-words_oct01.pdf
retract,"Magoosh GRE 1000 Words: (verb): pull inward or towards a center; formally reject or disavow a formerly held belief, usually under pressure Email is wonderfully efficient, but once something awkward or damaging has been sent, there is no way to retract it.",Magoosh GRE 1000 Words,,,,"(verb): pull inward or towards a center; formally reject or disavow a formerly held belief, usually under pressure Email is wonderfully efficient, but once something awkward or damaging has been sent, there is no way to retract it.",,magoosh-gre-1000-words_oct01.pdf
retribution,Kaplan 900 + High Frequency GRE: Deserved punishment for wrongdoing,Kaplan 900 + High Frequency GRE,,,Deserved punishment for wrongdoing,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
reveal,"Kaplan 900 + High Frequency GRE: Uncover, either side of an aperture on wall- window etc",Kaplan 900 + High Frequency GRE,,,"Uncover, either side of an aperture on wall- window etc",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
reverberating,Barron's 1100 - First 20 Weeks: reechoing,Barron's 1100 - First 20 Weeks,,reechoing,,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
revere,WordSmart I Complete 850 Words: Pronunciation: rih-VEER; English: to respect highly; Bengali: গভীরভানি শ্রিা করা; Example: She is revered as a pioneer in medicine.,WordSmart I Complete 850 Words,,,,,Pronunciation: rih-VEER; English: to respect highly; Bengali: গভীরভানি শ্রিা করা; Example: She is revered as a pioneer in medicine.,WordSmart1_Complete_850Words.pdf
reverent,"Magoosh GRE 1000 Words: (adjective): feeling or showing profound respect or veneration The professor could speak objectively about the other composers, but he always lectured about Brahms with a particularly reverent air, unable to offer a single criticism of his compositions.",Magoosh GRE 1000 Words,,,,"(adjective): feeling or showing profound respect or veneration The professor could speak objectively about the other composers, but he always lectured about Brahms with a particularly reverent air, unable to offer a single criticism of his compositions.",,magoosh-gre-1000-words_oct01.pdf
reversed,Kaplan 900 + High Frequency GRE: Cause to move backward,Kaplan 900 + High Frequency GRE,,,Cause to move backward,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
revert,Barron's 1100 - First 20 Weeks: go back,Barron's 1100 - First 20 Weeks,,go back,,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
reviled,Barron's 1100 - First 20 Weeks: scolded | Kaplan 900 + High Frequency GRE: Criticize in a abusive or insulting manner,Barron's 1100 - First 20 Weeks; Kaplan 900 + High Frequency GRE,,scolded,Criticize in a abusive or insulting manner,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
rhapsody,GregMat Vocab: an ecstatic expression of feeling or enthusiasm,GregMat Vocab,an ecstatic expression of feeling or enthusiasm,,,,,GregMat Vocab.pdf
rhetoric,GregMat Vocab: persuasive speech or writing | WordSmart I Complete 850 Words: Pronunciation: RET-uh-rik; English: the art of formal speaking or writing; Bengali: িাত্ত্বিতা / িকতৃতা-কলা ্; Example: His speech was full of powerful rhetoric.,GregMat Vocab; WordSmart I Complete 850 Words,persuasive speech or writing,,,,Pronunciation: RET-uh-rik; English: the art of formal speaking or writing; Bengali: িাত্ত্বিতা / িকতৃতা-কলা ্; Example: His speech was full of powerful rhetoric.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf
ridiculed,"Kaplan 900 + High Frequency GRE: Absurd misrepresentation, mockery",Kaplan 900 + High Frequency GRE,,,"Absurd misrepresentation, mockery",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
rife,"Kaplan 900 + High Frequency GRE: widespread, abounding, occurring frequently",Kaplan 900 + High Frequency GRE,,,"widespread, abounding, occurring frequently",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
rigor,GregMat Vocab: thoroughness and strictness,GregMat Vocab,thoroughness and strictness,,,,,GregMat Vocab.pdf
rigorous,WordSmart I Complete 850 Words: Pronunciation: RIG-er-us; English: severe; Bengali: কন ার / বনষ ুর ্; Example: The training program was rigorous but effective.,WordSmart I Complete 850 Words,,,,,Pronunciation: RIG-er-us; English: severe; Bengali: কন ার / বনষ ুর ্; Example: The training program was rigorous but effective.,WordSmart1_Complete_850Words.pdf
rile,"Magoosh GRE 1000 Words: (verb): cause annoyance in; disturb, especially by minor irritations Dan is usually calm and balanced, but it takes only one intense glare from Sabrina to rile him.",Magoosh GRE 1000 Words,,,,"(verb): cause annoyance in; disturb, especially by minor irritations Dan is usually calm and balanced, but it takes only one intense glare from Sabrina to rile him.",,magoosh-gre-1000-words_oct01.pdf
robust,"GregMat Vocab: 1. capable of surviving despite adverse conditions 2. (of an object, person, or organization) strong and powerful | Kaplan 900 + High Frequency GRE: strong and healthy, vigorous | Magoosh GRE 1000 Words: (adjective): sturdy and strong in form, constitution, or construction Chris preferred bland and mild beers, but Bhavin preferred a beer with more robust flavor. | WordSmart I Complete 850 Words: Pronunciation: roh-BUST; English: strong and healthy; Bengali: শত্ত্বক্তশালী / সুস-্থসিল; Example: He had a robust constitution.",GregMat Vocab; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,"1. capable of surviving despite adverse conditions 2. (of an object, person, or organization) strong and powerful",,"strong and healthy, vigorous","(adjective): sturdy and strong in form, constitution, or construction Chris preferred bland and mild beers, but Bhavin preferred a beer with more robust flavor.",Pronunciation: roh-BUST; English: strong and healthy; Bengali: শত্ত্বক্তশালী / সুস-্থসিল; Example: He had a robust constitution.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
rogue,WordSmart I Complete 850 Words: Pronunciation: ROHG; English: someone who can't be trusted; Bengali: গ / ছিইমান; Example: He turned out to be a rogue who cheated everyone.,WordSmart I Complete 850 Words,,,,,Pronunciation: ROHG; English: someone who can't be trusted; Bengali: গ / ছিইমান; Example: He turned out to be a rogue who cheated everyone.,WordSmart1_Complete_850Words.pdf
romp,Barron's 1100 - First 20 Weeks: move in a lively manner,Barron's 1100 - First 20 Weeks,,move in a lively manner,,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
rout,"Kaplan 900 + High Frequency GRE: to put to flight, to scatter, to cause a huge defeat",Kaplan 900 + High Frequency GRE,,,"to put to flight, to scatter, to cause a huge defeat",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
row,Magoosh GRE 1000 Words: (noun): an angry dispute The Prime Minister looked very foolish after his row with the foreign dignitary was caught on video and posted on youtube.,Magoosh GRE 1000 Words,,,,(noun): an angry dispute The Prime Minister looked very foolish after his row with the foreign dignitary was caught on video and posted on youtube.,,magoosh-gre-1000-words_oct01.pdf
rubric,"Kaplan 900 + High Frequency GRE: heading, title, category",Kaplan 900 + High Frequency GRE,,,"heading, title, category",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
rudimentary,"GregMat Vocab: basic or elementary; in the earliest stages of development | Barron's 1100 - First 20 Weeks: basic, elementary | Magoosh GRE 1000 Words: (adjective): being in the earliest stages of development; being or involving basic facts or principles I would love to be able to present a fully polished proposal to the board, but right now, our plans for the product are still in the most rudimentary stages. | WordSmart I Complete 850 Words: Pronunciation: roo-dih-MEN- tuh-ree; English: basic; undeveloped; Bengali: প্রার্বমক / অনুনত্ন; Example: She had a rudimentary knowledge of French.",GregMat Vocab; Barron's 1100 - First 20 Weeks; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,basic or elementary; in the earliest stages of development,"basic, elementary",,"(adjective): being in the earliest stages of development; being or involving basic facts or principles I would love to be able to present a fully polished proposal to the board, but right now, our plans for the product are still in the most rudimentary stages.",Pronunciation: roo-dih-MEN- tuh-ree; English: basic; undeveloped; Bengali: প্রার্বমক / অনুনত্ন; Example: She had a rudimentary knowledge of French.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf; magoosh-gre-1000-words_oct01.pdf
ruminate,GregMat Vocab: meditate or reflect; ponder over | Kaplan 900 + High Frequency GRE: to muse upon | WordSmart I Complete 850 Words: Pronunciation: ROO-mih-nayt; English: to ponder; Bengali: গভীরভানি ভািা / মনন মনন চচো করা; Example: He ruminated over the decision for days.,GregMat Vocab; Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,meditate or reflect; ponder over,,to muse upon,,Pronunciation: ROO-mih-nayt; English: to ponder; Bengali: গভীরভানি ভািা / মনন মনন চচো করা; Example: He ruminated over the decision for days.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
rustic,"Kaplan 900 + High Frequency GRE: primitive, rural, lacking city comforts | Magoosh GRE 1000 Words: (adjective): characteristic of rural life; awkwardly simple and provincial The vacation cabin had no electricity and no indoor plumbing, but despite these inconveniences, Nigel adored its rustic charm. | WordSmart I Complete 850 Words: Pronunciation: RUS-tik; English: primitive; Bengali: গা্রমীণ / সাোমাটা; Example: The rustic cottage had no electricity.",Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,,,"primitive, rural, lacking city comforts","(adjective): characteristic of rural life; awkwardly simple and provincial The vacation cabin had no electricity and no indoor plumbing, but despite these inconveniences, Nigel adored its rustic charm.",Pronunciation: RUS-tik; English: primitive; Bengali: গা্রমীণ / সাোমাটা; Example: The rustic cottage had no electricity.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
saccharine,Kaplan 900 + High Frequency GRE: excessively sweet | WordSmart I Complete 850 Words: Pronunciation: SAK-uh-reen; English: excessively or disgustingly sweet; Bengali: অবতবরক্ত বমটষ্ট / কৃত্ত্বমভানি ভািপি্রণ; Example: The film's saccharine ending felt forced.,Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,excessively sweet,,Pronunciation: SAK-uh-reen; English: excessively or disgustingly sweet; Bengali: অবতবরক্ত বমটষ্ট / কৃত্ত্বমভানি ভািপি্রণ; Example: The film's saccharine ending felt forced.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
sacrilege,WordSmart I Complete 850 Words: Pronunciation: SAK-rih-lij; English: blasphemy; Bengali: পবিত্র বিষনয অসম্মান / িমবনেনা্দ; Example: Desecrating a temple is an act of sacrilege.,WordSmart I Complete 850 Words,,,,,Pronunciation: SAK-rih-lij; English: blasphemy; Bengali: পবিত্র বিষনয অসম্মান / িমবনেনা্দ; Example: Desecrating a temple is an act of sacrilege.,WordSmart1_Complete_850Words.pdf
sacrosanct,WordSmart I Complete 850 Words: Pronunciation: SAK-roh-sangkt; English: sacred; Bengali: পবিত্র / অলঙ্ঘনীয; Example: The privacy of the vote is sacrosanct.,WordSmart I Complete 850 Words,,,,,Pronunciation: SAK-roh-sangkt; English: sacred; Bengali: পবিত্র / অলঙ্ঘনীয; Example: The privacy of the vote is sacrosanct.,WordSmart1_Complete_850Words.pdf
sadistic,GregMat Vocab: taking pleasure in causing pain or suffering to others,GregMat Vocab,taking pleasure in causing pain or suffering to others,,,,,GregMat Vocab.pdf
sagacious,"GregMat Vocab: demonstrating wisdom or sound judgment | Kaplan 900 + High Frequency GRE: wise shrewd | Magoosh GRE 1000 Words: (adjective): having good judgement and acute insight Steve Jobs is surely one of the most sagacious CEOs, making Apple the most recognizable and valuable companies in the world. | WordSmart I Complete 850 Words: Pronunciation: suh-GAY-shus; English: wise; Bengali: প্রজা্ঞিান / বিজ ্ঞ; Example: Her sagacious advice helped me navigate the crisis.",GregMat Vocab; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,demonstrating wisdom or sound judgment,,wise shrewd,"(adjective): having good judgement and acute insight Steve Jobs is surely one of the most sagacious CEOs, making Apple the most recognizable and valuable companies in the world.",Pronunciation: suh-GAY-shus; English: wise; Bengali: প্রজা্ঞিান / বিজ ্ঞ; Example: Her sagacious advice helped me navigate the crisis.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
salient,"Barron's 1100 - First 20 Weeks: outstanding | Kaplan 900 + High Frequency GRE: Prominent, projecting beyond line | WordSmart I Complete 850 Words: Pronunciation: SAY-lee-unt; English: standing out; Bengali: বিবশষ্ট / প্রিান; Example: The salient feature of the plan is its simplicity.",Barron's 1100 - First 20 Weeks; Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,outstanding,"Prominent, projecting beyond line",,Pronunciation: SAY-lee-unt; English: standing out; Bengali: বিবশষ্ট / প্রিান; Example: The salient feature of the plan is its simplicity.,WordSmart1_Complete_850Words.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
sallow,Kaplan 900 + High Frequency GRE: yellow tone,Kaplan 900 + High Frequency GRE,,,yellow tone,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
sally,"Barron's 1100 - First 20 Weeks: sudden rushing forth | Kaplan 900 + High Frequency GRE: a rushing attack, witty repartee, a brief excursion",Barron's 1100 - First 20 Weeks; Kaplan 900 + High Frequency GRE,,sudden rushing forth,"a rushing attack, witty repartee, a brief excursion",,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
salubrious,GregMat Vocab: 1. promoting health or well-being 2. (of a place or accommodation) pleasant | Kaplan 900 + High Frequency GRE: favorable to health,GregMat Vocab; Kaplan 900 + High Frequency GRE,1. promoting health or well-being 2. (of a place or accommodation) pleasant,,favorable to health,,,GregMat Vocab.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
salutary,"GregMat Vocab: beneficial, especially in promoting health or well-being | WordSmart I Complete 850 Words: Pronunciation: SAL-yuh-ter-ee; English: curative; healthful; Bengali: উপকারী / সা্বস্থযকর; Example: The experience had a salutary effect on his behavior.",GregMat Vocab; WordSmart I Complete 850 Words,"beneficial, especially in promoting health or well-being",,,,Pronunciation: SAL-yuh-ter-ee; English: curative; healthful; Bengali: উপকারী / সা্বস্থযকর; Example: The experience had a salutary effect on his behavior.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf
salvation,Barron's 1100 - First 20 Weeks: deliverance from ruin,Barron's 1100 - First 20 Weeks,,deliverance from ruin,,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
sanctimonious,"GregMat Vocab: giving the impression that one is morally superior | Kaplan 900 + High Frequency GRE: Displaying hypocritical (claim something they don't have) devoutness | Magoosh GRE 1000 Words: (adjective): making a show of being pious; holier-than-thou Even during the quiet sanctity of evening prayer, she held her chin high, a sanctimonious sneer forming on her face as she eyed those who were attending church for the first time. | WordSmart I Complete 850 Words: Pronunciation: sangk-tih-MOH- nee-us; English: affecting religious feeling; Bengali: ভে-িাবমকে / িমীয ভাি ছেখ্ায; Example: His sanctimonious speeches annoyed his coworkers.",GregMat Vocab; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,giving the impression that one is morally superior,,Displaying hypocritical (claim something they don't have) devoutness,"(adjective): making a show of being pious; holier-than-thou Even during the quiet sanctity of evening prayer, she held her chin high, a sanctimonious sneer forming on her face as she eyed those who were attending church for the first time.",Pronunciation: sangk-tih-MOH- nee-us; English: affecting religious feeling; Bengali: ভে-িাবমকে / িমীয ভাি ছেখ্ায; Example: His sanctimonious speeches annoyed his coworkers.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
sanction,GregMat Vocab: 1. authorize; permit 2. penalize; punish | Magoosh GRE 1000 Words: (verb): give authority or permission to The authorities have sanctioned the use of the wilderness reserve for public use; many expect to see hikers an campers enjoying the park in the coming months. ; (noun): a legal penalty for a forbidden action International sanctions have been placed on certain shipping lanes that were thought to be involved in human trafficking.,GregMat Vocab; Magoosh GRE 1000 Words,1. authorize; permit 2. penalize; punish,,,(verb): give authority or permission to The authorities have sanctioned the use of the wilderness reserve for public use; many expect to see hikers an campers enjoying the park in the coming months. ; (noun): a legal penalty for a forbidden action International sanctions have been placed on certain shipping lanes that were thought to be involved in human trafficking.,,GregMat Vocab.pdf; magoosh-gre-1000-words_oct01.pdf
sanctuary,Barron's 1100 - First 20 Weeks: sangk ' chü er ' i place of protection,Barron's 1100 - First 20 Weeks,,sangk ' chü er ' i place of protection,,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
sangfroid,"Kaplan 900 + High Frequency GRE: extraordinary composure in the face of danger | Magoosh GRE 1000 Words: (noun): calmness or poise in difficult situations The hostage negotiator exhibited a sangfroid that oftentimes was more menacing than the sword at his throat, or the gun at his head.",Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words,,,extraordinary composure in the face of danger,"(noun): calmness or poise in difficult situations The hostage negotiator exhibited a sangfroid that oftentimes was more menacing than the sword at his throat, or the gun at his head.",,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
sanguine,"GregMat Vocab: cheerfully optimistic, particularly in a difficult situation | Barron's 1100 - First 20 Weeks: hopeful | Magoosh GRE 1000 Words: (adjective): cheerful; optimistic With the prospect of having to learn 3,000 words during the course of the summer, Paul was anything but sanguine. | WordSmart I Complete 850 Words: Pronunciation: SANG-gwin; English: optimistic; Bengali: আশািােী / উৎসাহী; Example: She remained sanguine about their chances.",GregMat Vocab; Barron's 1100 - First 20 Weeks; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,"cheerfully optimistic, particularly in a difficult situation",hopeful,,"(adjective): cheerful; optimistic With the prospect of having to learn 3,000 words during the course of the summer, Paul was anything but sanguine.",Pronunciation: SANG-gwin; English: optimistic; Bengali: আশািােী / উৎসাহী; Example: She remained sanguine about their chances.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf; magoosh-gre-1000-words_oct01.pdf
saporous,"Kaplan 900 + High Frequency GRE: tasty, flavorsome",Kaplan 900 + High Frequency GRE,,,"tasty, flavorsome",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
sardonic,"Kaplan 900 + High Frequency GRE: disdainful, scornfully mocking | Magoosh GRE 1000 Words: (adjective): disdainfully or ironically humorous; scornful and mocking A stand-up comedian walks a fine line when making jokes about members of the audience; such fun and joking can quickly become sardonic and cutting. | WordSmart I Complete 850 Words: Pronunciation: sar-DON-ik; English: mocking; Bengali: বিদ্রূপাত্মক / াট্টাপূণ ে; Example: He gave a sardonic smile when she mentioned success.",Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,,,"disdainful, scornfully mocking",(adjective): disdainfully or ironically humorous; scornful and mocking A stand-up comedian walks a fine line when making jokes about members of the audience; such fun and joking can quickly become sardonic and cutting.,Pronunciation: sar-DON-ik; English: mocking; Bengali: বিদ্রূপাত্মক / াট্টাপূণ ে; Example: He gave a sardonic smile when she mentioned success.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
sartorial,"Kaplan 900 + High Frequency GRE: relating to dress or fashion | Magoosh GRE 1000 Words: (adjective): related to fashion or clothes Monte was astute at navigating the world of finance; sartorially, however, he was found wanting--he typically would attempt to complement his beige tie with a gray suit and white pants.",Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words,,,relating to dress or fashion,"(adjective): related to fashion or clothes Monte was astute at navigating the world of finance; sartorially, however, he was found wanting--he typically would attempt to complement his beige tie with a gray suit and white pants.",,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
satirical,GregMat Vocab: using humor or irony to criticize or mock,GregMat Vocab,using humor or irony to criticize or mock,,,,,GregMat Vocab.pdf
satrap,Kaplan 900 + High Frequency GRE: a subordinate ruler,Kaplan 900 + High Frequency GRE,,,a subordinate ruler,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
saturate,Barron's 1100 - First 20 Weeks: fill up completely,Barron's 1100 - First 20 Weeks,,fill up completely,,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
saturnine,"Kaplan 900 + High Frequency GRE: sullen, gloomy, depressed | Magoosh GRE 1000 Words: (adjective): morose or gloomy Deprived of sunlight, humans become saturnine; that's why in very northerly territories people are encouraged to sit under an extremely powerful lamp, lest they become morose.",Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words,,,"sullen, gloomy, depressed","(adjective): morose or gloomy Deprived of sunlight, humans become saturnine; that's why in very northerly territories people are encouraged to sit under an extremely powerful lamp, lest they become morose.",,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
savant,"Kaplan 900 + High Frequency GRE: a scholar, a very knowledgeable person",Kaplan 900 + High Frequency GRE,,,"a scholar, a very knowledgeable person",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
savvy,"Magoosh GRE 1000 Words: (noun): a perceptive understanding Although a great CEO, he did not have the political savvy to win the election. ; (verb): get the meaning of something The student savvies the meaning of astrophysics with little effort. ; (adjective): well-informed or perceptive With his savvy business partner, the company was able to turn a profit within a year.",Magoosh GRE 1000 Words,,,,"(noun): a perceptive understanding Although a great CEO, he did not have the political savvy to win the election. ; (verb): get the meaning of something The student savvies the meaning of astrophysics with little effort. ; (adjective): well-informed or perceptive With his savvy business partner, the company was able to turn a profit within a year.",,magoosh-gre-1000-words_oct01.pdf
scant,"GregMat Vocab: hardly sufficient, meager, or minimal",GregMat Vocab,"hardly sufficient, meager, or minimal",,,,,GregMat Vocab.pdf
scanty,"Kaplan 900 + High Frequency GRE: minimal, hardly sufficient",Kaplan 900 + High Frequency GRE,,,"minimal, hardly sufficient",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
scathing,GregMat Vocab: harshly or bitterly critical; vitriolic,GregMat Vocab,harshly or bitterly critical; vitriolic,,,,,GregMat Vocab.pdf
